Time,# Clients
2023-06-17 00:00:00+00:00,2570
2023-06-18 00:00:00+00:00,336
2023-06-19 00:00:00+00:00,517
2023-06-20 00:00:00+00:00,4142
2023-06-21 00:00:00+00:00,4127
2023-06-22 00:00:00+00:00,3887
2023-06-23 00:00:00+00:00,3770
2023-06-24 00:00:00+00:00,2715
2023-06-25 00:00:00+00:00,381
2023-06-26 00:00:00+00:00,3595
2023-06-27 00:00:00+00:00,4196
2023-06-28 00:00:00+00:00,4082
2023-06-29 00:00:00+00:00,3996
2023-06-30 00:00:00+00:00,3745
2023-07-01 00:00:00+00:00,2634
2023-07-02 00:00:00+00:00,300
2023-07-03 00:00:00+00:00,490
2023-07-04 00:00:00+00:00,4275
2023-07-05 00:00:00+00:00,4219
2023-07-06 00:00:00+00:00,3989
2023-07-07 00:00:00+00:00,4219
2023-07-08 00:00:00+00:00,2681
2023-07-09 00:00:00+00:00,312
2023-07-10 00:00:00+00:00,4664
2023-07-11 00:00:00+00:00,4664
2023-07-12 00:00:00+00:00,4505
2023-07-13 00:00:00+00:00,4097
2023-07-14 00:00:00+00:00,4357
2023-07-15 00:00:00+00:00,3006
2023-07-16 00:00:00+00:00,328
2023-07-17 00:00:00+00:00,4332
2023-07-18 00:00:00+00:00,4211
2023-07-19 00:00:00+00:00,4142
2023-07-20 00:00:00+00:00,337
2023-07-21 00:00:00+00:00,2366
2023-07-22 00:00:00+00:00,2641
2023-07-23 00:00:00+00:00,326
2023-07-24 00:00:00+00:00,3920
2023-07-25 00:00:00+00:00,4291
2023-07-26 00:00:00+00:00,4235
2023-07-27 00:00:00+00:00,3783
2023-07-28 00:00:00+00:00,4135
2023-07-29 00:00:00+00:00,2301
2023-07-30 00:00:00+00:00,316
2023-07-31 00:00:00+00:00,4105
2023-08-01 00:00:00+00:00,4120
2023-08-02 00:00:00+00:00,4324
2023-08-03 00:00:00+00:00,3934
2023-08-04 00:00:00+00:00,3961
2023-08-05 00:00:00+00:00,2753
2023-08-06 00:00:00+00:00,387
2023-08-07 00:00:00+00:00,327
2023-08-08 00:00:00+00:00,3063
2023-08-09 00:00:00+00:00,4090
2023-08-10 00:00:00+00:00,4061
2023-08-11 00:00:00+00:00,4053
2023-08-12 00:00:00+00:00,2693
2023-08-13 00:00:00+00:00,320
2023-08-14 00:00:00+00:00,2704
2023-08-15 00:00:00+00:00,4150
2023-08-16 00:00:00+00:00,4090
2023-08-17 00:00:00+00:00,3499
2023-08-18 00:00:00+00:00,3900
2023-08-19 00:00:00+00:00,1543
2023-08-20 00:00:00+00:00,361
2023-08-21 00:00:00+00:00,540
2023-08-22 00:00:00+00:00,1900
2023-08-23 00:00:00+00:00,2104
2023-08-24 00:00:00+00:00,1516
2023-08-25 00:00:00+00:00,2036
2023-08-26 00:00:00+00:00,1198
2023-08-27 00:00:00+00:00,335
2023-08-28 00:00:00+00:00,1815
2023-08-29 00:00:00+00:00,1716
2023-08-30 00:00:00+00:00,1489
2023-08-31 00:00:00+00:00,1659
2023-09-01 00:00:00+00:00,1668
2023-09-02 00:00:00+00:00,1108
2023-09-03 00:00:00+00:00,357
2023-09-04 00:00:00+00:00,3642
2023-09-05 00:00:00+00:00,3927
2023-09-06 00:00:00+00:00,3648
2023-09-07 00:00:00+00:00,2196
2023-09-08 00:00:00+00:00,3751
2023-09-09 00:00:00+00:00,2382
2023-09-10 00:00:00+00:00,352
2023-09-11 00:00:00+00:00,4032
2023-09-12 00:00:00+00:00,4135
2023-09-13 00:00:00+00:00,4460
2023-09-14 00:00:00+00:00,4188
2023-09-15 00:00:00+00:00,3726
2023-09-16 00:00:00+00:00,3108
2023-09-17 00:00:00+00:00,323
2023-09-18 00:00:00+00:00,4340
2023-09-19 00:00:00+00:00,4560
2023-09-20 00:00:00+00:00,4714
2023-09-21 00:00:00+00:00,4478
2023-09-22 00:00:00+00:00,4551
2023-09-23 00:00:00+00:00,3324
2023-09-24 00:00:00+00:00,313
2023-09-25 00:00:00+00:00,4532
2023-09-26 00:00:00+00:00,4551
2023-09-27 00:00:00+00:00,4957
2023-09-28 00:00:00+00:00,4655
2023-09-29 00:00:00+00:00,4578
2023-09-30 00:00:00+00:00,3230
2023-10-01 00:00:00+00:00,317
2023-10-02 00:00:00+00:00,4664
2023-10-03 00:00:00+00:00,4714
2023-10-04 00:00:00+00:00,4764
2023-10-05 00:00:00+00:00,4532
2023-10-06 00:00:00+00:00,4635
2023-10-07 00:00:00+00:00,2772
2023-10-08 00:00:00+00:00,334
2023-10-09 00:00:00+00:00,4349
2023-10-10 00:00:00+00:00,4324
2023-10-11 00:00:00+00:00,4532
2023-10-12 00:00:00+00:00,2427
2023-10-13 00:00:00+00:00,4135
2023-10-14 00:00:00+00:00,2933
2023-10-15 00:00:00+00:00,329
2023-10-16 00:00:00+00:00,605
2023-10-17 00:00:00+00:00,4425
2023-10-18 00:00:00+00:00,4795
2023-10-19 00:00:00+00:00,4315
2023-10-20 00:00:00+00:00,4523
2023-10-21 00:00:00+00:00,2967
2023-10-22 00:00:00+00:00,395
2023-10-23 00:00:00+00:00,4523
2023-10-24 00:00:00+00:00,4374
2023-10-25 00:00:00+00:00,4349
2023-10-26 00:00:00+00:00,4291
2023-10-27 00:00:00+00:00,3324
2023-10-28 00:00:00+00:00,2049
2023-10-29 00:00:00+00:00,385
